lat	lng	type
42.6807224	23.3136488	училище
42.66482	23.3936099	училище
42.6965984	23.3204724	училище
42.674195	23.2979669	училище
42.6954928	23.3383945	училище
42.6780119	23.3655481	училище
42.687535	23.3285076	училище
42.8399093	23.3227529	училище
42.6727648	23.3024827	училище
42.6751783	23.232507	училище
42.7265601	23.2703105	училище
42.7167097	23.2196024	детска градина
42.6742943	23.4293304	детска градина
42.7022464	23.3320076	детска градина
42.645159	23.2776971	детска градина
42.7197159	23.3441755	детска градина
42.6568407	23.3519967	детска градина
42.7057762	23.4861888	детска градина
42.6206656	23.3398529	детска градина
42.6626793	23.3171472	детска градина
42.6118253	23.3563048	детска градина
42.6725021	23.3162484	детска градина
42.6329315	23.2971573	детска градина
42.624741	23.3085007	детска градина
42.6959186	23.2917255	детска градина
42.6602785	23.2818058	детска градина
42.6233961	23.3175291	детска градина
42.6222799	23.3177499	детска градина
42.7189258	23.3475995	детска градина
42.6300551	23.3101559	детска градина
42.6550804	23.3330247	детска градина
42.6317607	23.3153991	детска градина
42.7170126	23.2619084	детска градина
42.6435847	23.3411035	детска градина
42.7127125	23.2519729	детска градина
42.6200915	23.3325714	детска градина
42.6624528	23.2939865	детска градина
42.6634226	23.3830687	детска градина
42.7037007	23.3230727	детска градина
42.7033884	23.3261976	детска градина
42.7137377	23.3020121	детска градина
42.7373216	23.3051015	детска градина
42.6613889	23.274309	детска градина
42.62590544	23.33290007	детска градина
42.6682244	23.2562642	детска градина
42.6598306	23.27370129	детска градина
42.6203277	23.3654442	детска градина
42.6425656	23.2796239	детска градина
42.6609099	23.2619856	детска градина
42.669771	23.2443436	детска градина
42.6503894	23.3324574	детска градина
42.6297518	23.3201817	детска градина
42.6661283	23.281263	детска градина
42.6566796	23.2495072	детска градина
42.6118253	23.3563048	детска градина
42.6595951	23.2779533	детска градина
42.638206	23.306897	детска градина
42.6651533	23.3225917	детска градина
42.6657925	23.2640708	детска градина
42.61761859	23.35871289	детска градина
42.6481746	23.2674568	детска градина
42.6132484	23.3325321	детска градина
42.6578449	23.2650865	детска градина
42.64674	23.2804154	детска градина
42.6288407	23.3110504	детска градина
42.6726884	23.3180363	детска градина
42.6035943	23.1757512	детска градина
42.666208	23.2435422	детска градина
42.6553522	23.2370648	детска градина
42.667624	23.2691139	детска градина
42.6447835	23.2880822	детска градина
42.6309541	23.3149224	детска градина
42.6696585	23.2714127	детска градина
42.6135095	23.3400234	детска градина
42.6383223	23.2971772	детска градина
42.7227286	23.2737965	детска градина
42.6589723	23.2802702	детска градина
42.6959239	23.2919753	детска градина
42.74247	23.2804323	детска градина
42.6879399	23.3303767	детска градина
42.7420489	23.2630552	детска градина
42.7339134	23.2862827	детска градина
42.7347589	23.2871044	детска градина
42.66482	23.3936099	детска градина
42.7028205	23.308241	детска градина
42.7025454	23.3058099	детска градина
42.6980595	23.3041354	детска градина
42.6978475	23.3080353	детска градина
42.696852	23.3072286	детска градина
42.6996674	23.3072719	детска градина
42.6690676	23.3657615	детска градина
42.6736202	23.3536101	детска градина
42.6618973	23.3451063	детска градина
42.6631553	23.350925	детска градина
